country,value
Botswana_muslims_muslims,5000
Brazil_muslims,40000
British Virgin Islands_muslims,5000
Brunei_muslims,300000
Bulgaria_muslims,1020000
Burkina Faso_muslims,10150000
Burundi_muslims,230000
Cambodia_muslims,280000
Cameroon_muslims,3590000
Canada_muslims,710000
Cape Verde_muslims,5000
Cayman Islands_muslims,5000
Central African Republic_muslims,370000
Chad_muslims,6210000
Chile_muslims,5000
China_muslims,24690000
Colombia_muslims,10000
Comoros_muslims,720000
Cook Islands_muslims,5000
Costa Rica_muslims,5000
Croatia_muslims,60000
Cuba_muslims,5000
Curacao_muslims,5000
Cyprus_muslims,280000
Czech Republic_muslims,5000
Denmark_muslims,230000
Djibouti_muslims,860000
Dominica_muslims,5000
Dominican Republic_muslims,5000
DR Congo_muslims,970000
Ecuador_muslims,5000
Egypt_muslims,76990000
El Salvador_muslims,5000
Equatorial Guinea_muslims,30000
Eritrea_muslims,1920000
Estonia_muslims,5000
Eswatini_muslims,5000
Ethiopia_muslims,28680000
Falkland Islands_muslims,5000
Faroe Islands_muslims,5000
Fiji_muslims,50000
Finland_muslims,40000
France_muslims,4710000
French Guiana_muslims,5000
French Polynesia_muslims,5000
Gabon_muslims,170000
Gambia_muslims,1640000
Georgia_muslims,470000
Germany_muslims,4760000
Ghana_muslims,3860000
Gibraltar_muslims,5000
Greece_muslims,610000
Greenland_muslims,5000
Grenada_muslims,5000
Guadeloupe_muslims,5000
Guam_muslims,5000
Guatemala_muslims,5000
Guinea_muslims,8430000
Guinea-Bissau_muslims,680000
Guyana_muslims,50000
Haiti_muslims,5000
Honduras_muslims,10000
Hong Kong_muslims,130000
Hungary_muslims,5000
Iceland_muslims,5000
India_muslims,176200000
Indonesia_muslims,209120000
Iran_muslims,73570000
Iraq_muslims,31340000
Ireland_muslims,50000
Isle of Man_muslims,5000
Israel_muslims,1380000
Italy_muslims,2220000
Ivory Coast_muslims,7390000
Jamaica_muslims,5000
Japan_muslims,200000
Jordan_muslims,6010000
Kazakhstan_muslims,11290000
Kenya_muslims,3920000
Kiribati_muslims,5000
Kuwait_muslims,2030000
Kyrgyzstan_muslims,4690000
Laos_muslims,5000
Latvia_muslims,5000
Lebanon_muslims,2590000
Lesotho_muslims,5000
Liberia_muslims,480000
Libya_muslims,6140000
Liechtenstein_muslims,5000
Lithuania_muslims,5000
Luxembourg_muslims,10000
Macau_muslims,5000
Madagascar_muslims,620000
Malawi_muslims,1930000
Malaysia_muslims,18100000
Maldives_muslims,310000
Mali_muslims,14510000
Malta_muslims,5000
Marshall Islands_muslims,5000
Martinique_muslims,5000
Mauritania_muslims,3430000
Mauritius_muslims,220000
Mayotte_muslims,200000
Mexico_muslims,5000
Micronesia_muslims,5000
Moldova_muslims,20000
Monaco_muslims,5000
Mongolia_muslims,90000
Montenegro_muslims,120000
Montserrat_muslims,5000
Morocco_muslims,31930000
Mozambique_muslims,4200000
Myanmar_muslims,1900000
Namibia_muslims,5000
Nauru_muslims,5000
Nepal_muslims,1370000
Netherlands_muslims,1000000
New Caledonia_muslims,5000
New Zealand_muslims,50000
Nicaragua_muslims,5000
Niger_muslims,15270000
Nigeria_muslims,77300000
Niue_muslims,5000
North Korea_muslims,5000
Northern Mariana Islands_muslims,5000
Norway_muslims,180000
Oman_muslims,2390000
Pakistan_muslims,167410000
Palau_muslims,5000
Palestine_muslims,3940000
Panama_muslims,30000
Papua New Guinea_muslims,5000
Paraguay_muslims,5000
Peru_muslims,5000
Philippines_muslims,5150000
Poland_muslims,5000
Portugal_muslims,30000
Puerto Rico_muslims,5000
Qatar_muslims,1190000
Republic of the Congo_muslims,50000
Reunion_muslims,40000
Romania_muslims,70000
Russia_muslims,14290000
Rwanda_muslims,190000
